Unnamed: 0,Project,specification,area,price
155,155,Sportsville,2 BHK2 Baths,725 sq.ft. (67 sq.m.) Carpet Area,₹ 68.07 L
156,156,Megapolis Sparklet4.6 ★,2 BHK2 Baths,988 sq.ft. (92 sq.m.) Super built-up Area,"₹ 54.5 L₹ 5,263/sq.ft."
157,157,Welworth Purnam,4 BHK4 Baths,"1,443 sq.ft. (134 sq.m.) Carpet Area",₹ 1.15 Cr
158,158,Welworth Purnam,3 BHK,881-954 sq.ft. (82-89 sq.m.) Carpet Area,₹ 65  - 70.39 L
159,159,Welworth Purnam,2 BHK,575-763 sq.ft. (53-71 sq.m.) Carpet Area,₹ 53  - 70.33 L
160,160,Sportsville,3 BHK3 Baths,793-797 sq.ft. (74-74 sq.m.) Carpet Area,₹ 72.59  - 72.86 L
161,161,Sportsville,2 BHK2 Baths,630-631 sq.ft. (59-59 sq.m.) Carpet Area,₹ 57  - 57.09 L
162,162,Sportsville,1 BHK1 Bath,421 sq.ft. (39 sq.m.) Carpet Area,₹ 40.09 L
163,163,Vilas Yashwin Sukhniwas,3 BHK,"1,026 sq.ft. (95 sq.m.) Carpet Area",₹ 70 L
164,164,Vilas Yashwin Sukhniwas,2 BHK2 Baths,585 sq.ft. (54 sq.m.) Carpet Area,₹ 50.58 L
165,165,Vilas Yashwin Sukhniwas,1 BHK2 Baths,491 sq.ft. (46 sq.m.) Carpet Area,₹ 41.41 L
166,166,Shapoorji Joyville Sensorium,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,"₹ 98.87 L₹ 10,161/sq.ft."
167,167,Shapoorji Joyville Sensorium,3 BHK3 Baths,"787-1,159 sq.ft. (73-108 sq.m.) Carpet Area","₹ 94.49 L - 1.39 Cr₹ 12,003/sq.ft."
168,168,Shapoorji Joyville Sensorium,2 BHK2 Baths,536-970 sq.ft. (50-90 sq.m.) Carpet Area,"₹ 66 L - 1.19 Cr₹ 11,972/sq.ft."
169,169,Life Republic I Tower,3 BHK3 Baths,754-867 sq.ft. (70-81 sq.m.) Carpet Area,"₹ 62.08  - 71.29 L₹ 8,224/sq.ft."
170,170,Rama Melange Residences4.6 ★,3 BHK3 Baths,"1,225 sq.ft. (114 sq.m.) Super built-up Area","₹ 65.23 L₹ 5,324/sq.ft."
171,171,Shapoorji Joyville,3 BHK,638 sq.ft. (59 sq.m.) Carpet Area,"₹ 95 L₹ 14,878/sq.ft."
172,172,Shapoorji Joyville,2 BHK2 Baths,508-770 sq.ft. (47-72 sq.m.) Carpet Area,"₹ 65  - 98 L₹ 12,753/sq.ft."
173,173,Kolte Patil Life Republic4.4 ★,3 BHK3 Baths,754 sq.ft. (70 sq.m.) Carpet Area,"₹ 82 L₹ 10,864/sq.ft."
174,174,Kolte Patil Life Republic4.4 ★,1 BHK1 Bath,410-470 sq.ft. (38-44 sq.m.) Carpet Area,"₹ 43  - 47.5 L₹ 10,389/sq.ft."
175,175,Shapoorji Joyville Sensorium,2 BHK2 Baths,536-637 sq.ft. (50-59 sq.m.) Carpet Area,"₹ 66.1  - 74.99 L₹ 12,045/sq.ft."
176,176,Kumar Megapolis4.5 ★,3 BHK,"1,305-1,495 sq.ft. (121-139 sq.m.) Super built-up Area","₹ 70.26  - 80.49 L₹ 5,384/sq.ft."
177,177,Redshift Bloomville,2 BHK2 Baths,516 sq.ft. (48 sq.m.) Carpet Area,Price on Request
178,178,Redshift Bloomville,1 BHK1 Bath,355 sq.ft. (33 sq.m.) Carpet Area,Price on Request
179,179,Kumar Megapolis4.5 ★,3 BHK2 Baths,"1,305 sq.ft. (121 sq.m.) Super built-up Area","₹ 70.26 L₹ 5,384/sq.ft."
180,180,Kumar Megapolis4.5 ★,2 BHK2 Baths,"1,078 sq.ft. (100 sq.m.) Super built-up Area","₹ 52 L₹ 4,824/sq.ft."
181,181,Rama Melange Residences4.6 ★,2 BHK2 Baths,647-850 sq.ft. (60-79 sq.m.) Carpet Area,"₹ 51  - 67.01 L₹ 7,882/sq.ft."
182,182,Kumar Megapolis4.5 ★,3 BHK,"1,305-1,495 sq.ft. (121-139 sq.m.) Super built-up Area","₹ 80  - 91.64 L₹ 6,130/sq.ft."
183,183,Kolte Patil Life Republic4.4 ★,3 BHK3 Baths,754 sq.ft. (70 sq.m.) Carpet Area,"₹ 74 L₹ 9,804/sq.ft."
184,184,Kolte Patil Life Republic4.4 ★,2 BHK,530 sq.ft. (49 sq.m.) Carpet Area,"₹ 58 L₹ 10,934/sq.ft."
185,185,Kolte Patil Life Republic4.4 ★,1 BHK,370 sq.ft. (34 sq.m.) Carpet Area,"₹ 37 L₹ 9,989/sq.ft."
186,186,Rama Fusion Towers,2 BHK2 Baths,508 sq.ft. (47 sq.m.) Carpet Area,"₹ 51.1 L₹ 10,047/sq.ft."
187,187,ITrend Homes3.7 ★,2 BHK2 Baths,562 sq.ft. (52 sq.m.) Carpet Area,₹ 51.01 L
188,188,Kohinoor Coral,2 BHK,493-760 sq.ft. (46-71 sq.m.) Carpet Area,"₹ 44  - 67.83 L₹ 8,919/sq.ft."
189,189,Menlo Homes,1 BHK1 Bath,422 sq.ft. (39 sq.m.) Carpet Area,"₹ 39 L₹ 9,241/sq.ft."
190,190,Vilas Javdekar Yashwin Hinjewadi,2 BHK,554 sq.ft. (51 sq.m.) Carpet Area,Price on Request
191,191,Kolte Patil Life Republic4.4 ★,3 BHK3 Baths,754 sq.ft. (70 sq.m.) Carpet Area,"₹ 81 L₹ 10,731/sq.ft."
192,192,Kolte Patil Life Republic4.4 ★,2 BHK2 Baths,650 sq.ft. (60 sq.m.) Carpet Area,"₹ 50 L₹ 7,692/sq.ft."
193,193,Kolte Patil Life Republic4.4 ★,1 BHK,366 sq.ft. (34 sq.m.) Carpet Area,"₹ 37 L₹ 10,095/sq.ft."
194,194,Sportsville,3 BHK3 Baths,793-879 sq.ft. (74-82 sq.m.) Carpet Area,₹ 78.09  - 86.56 L
195,195,Sportsville,2 BHK2 Baths,630-725 sq.ft. (59-67 sq.m.) Carpet Area,₹ 59.15  - 68.07 L
196,196,Kolte Patil Life Republic4.4 ★,3 BHK3 Baths,"754-1,594 sq.ft. (70-148 sq.m.) Carpet Area","₹ 79 L - 1.67 Cr₹ 10,468/sq.ft."
197,197,Kolte Patil Life Republic4.4 ★,2 BHK2 Baths,530-889 sq.ft. (49-83 sq.m.) Carpet Area,"₹ 59.07  - 99.08 L₹ 11,140/sq.ft."
198,198,Kolte Patil Life Republic4.4 ★,1 BHK1 Bath,366-470 sq.ft. (34-44 sq.m.) Carpet Area,"₹ 37.1  - 47.64 L₹ 10,129/sq.ft."
199,199,Paranjape Blue Ridge4.4 ★,3 BHK3 Baths,"889-1,366 sq.ft. (83-127 sq.m.) Carpet Area","₹ 76.96 L - 1.18 Cr₹ 8,646/sq.ft."
200,200,Paranjape Blue Ridge4.4 ★,2 BHK3 Baths,794 sq.ft. (74 sq.m.) Carpet Area,"₹ 73.05 L₹ 9,190/sq.ft."
201,201,Rohan Prathama,1 BHK,410 sq.ft. (38 sq.m.) Carpet Area,"₹ 38 L₹ 9,268/sq.ft."
202,202,Sportsville,2 BHK2 Baths,630-631 sq.ft. (59-59 sq.m.) Carpet Area,₹ 57.02  - 57.11 L
203,203,Shapoorji Joyville Sensorium,3 BHK,978 sq.ft. (91 sq.m.) Carpet Area,"₹ 1.04 Cr₹ 10,624/sq.ft."
204,204,Shapoorji Joyville Sensorium,2 BHK2 Baths,536-702 sq.ft. (50-65 sq.m.) Carpet Area,"₹ 67.9  - 72 L₹ 11,455/sq.ft."
205,205,Kasturi Eon Homes4.3 ★,2 BHK2 Baths,721-935 sq.ft. (67-87 sq.m.) Carpet Area,"₹ 73  - 85 L₹ 9,435/sq.ft."
206,206,Kasturi Eon Homes4.3 ★,3 BHK3 Baths,"1,112-1,145 sq.ft. (103-106 sq.m.) Carpet Area","₹ 1.12  - 1.15 Cr₹ 10,057/sq.ft."
207,207,Kasturi Eon Homes4.3 ★,2 BHK2 Baths,721-935 sq.ft. (67-87 sq.m.) Carpet Area,"₹ 65.23  - 85 L₹ 9,076/sq.ft."
208,208,Rohan Prathama,2 BHK,503 sq.ft. (47 sq.m.) Carpet Area,"₹ 59.21 L₹ 11,758/sq.ft."
209,209,Kumar Megapolis4.5 ★,2 BHK2 Baths,"1,078 sq.ft. (100 sq.m.) Super built-up Area","₹ 52 L₹ 4,823/sq.ft."
210,210,Kolte Patil Life Republic4.4 ★,3 BHK3 Baths,"754-1,594 sq.ft. (70-148 sq.m.) Carpet Area","₹ 80 L - 1.59 Cr₹ 10,203/sq.ft."
211,211,Kolte Patil Life Republic4.4 ★,2 BHK2 Baths,650-889 sq.ft. (60-83 sq.m.) Carpet Area,"₹ 50  - 99.08 L₹ 10,651/sq.ft."
212,212,Megapolis Sparklet4.6 ★,1 BHK1 Bath,450 sq.ft. (42 sq.m.) Carpet Area,"₹ 36 L₹ 8,000/sq.ft."
213,213,Kumar Megapolis4.5 ★,2 BHK2 Baths,"1,078-1,124 sq.ft. (100-104 sq.m.) Super built-up Area","₹ 52  - 54.22 L₹ 4,824/sq.ft."
214,214,Rama Melange Residences4.6 ★,2 BHK2 Baths,865 sq.ft. (80 sq.m.) Super built-up Area,"₹ 51 L₹ 5,895/sq.ft."
215,215,Shapoorji Joyville,1 BHK,414-514 sq.ft. (38-48 sq.m.) Carpet Area,"₹ 40  - 49 L₹ 9,595/sq.ft."
216,216,Kolte Patil Life Republic4.4 ★,2 BHK2 Baths,530-719 sq.ft. (49-67 sq.m.) Carpet Area,"₹ 50  - 80 L₹ 10,117/sq.ft."
